Дата,Кривая,Тип,Дисконт фактор,Тенор,Ставка
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00072378
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99865655
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99552619
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93540597
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85710077
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76974043
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70598715
28.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64755772
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00035143
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99958534
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99242359
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95869802
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.9093779
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83957699
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.7476233
29.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67911755
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00048424
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99945078
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99256461
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95245953
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89627508
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81820482
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74324034
30.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.6762025
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00020927
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99952502
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99237389
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95689873
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.90607197
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83569624
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73933145
31.07.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67276607
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00022839
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.9991898
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99252975
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95596636
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.90214973
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82433251
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74944054
01.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.68087728
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00030015
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99932303
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.995352
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9316464
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.8587967
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76986387
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.7060842
04.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64764681
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00012022
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99937058
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99432752
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95701564
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.9017823
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8238742
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74883582
05.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.68037579
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00035131
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00037495
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99472306
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95337075
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89801237
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81855248
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73898182
06.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.6725629
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00023688
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99953773
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99507061
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95427178
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89970172
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82189364
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73864144
07.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67222375
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00049264
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99949398
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99513822
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95345679
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89714186
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8168987
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73976549
08.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67320823
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00096552
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99959943
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99522566
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95307634
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89692903
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81667129
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73937233
11.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67288623
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00049501
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99870764
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99514105
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93912853
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.87185623
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.78703079
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.71824664
12.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.65669497
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00083037
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99959095
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99480004
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95304151
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89692573
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8165238
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73930728
13.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67287929
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00172188
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99937656
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99469642
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95424382
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89899122
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82003584
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73912093
14.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67268018
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00165786
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.999786
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99517103
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95380402
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89747466
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81720646
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.74004278
15.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67346111
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00100844
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00001381
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99412964
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95369094
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89758772
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81660643
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73929923
18.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67281636
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00087664
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99996627
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99425501
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95575846
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.8988704
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81635416
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73905206
19.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67263036
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00067964
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99887887
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99528331
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95575488
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89889561
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81627686
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73904377
20.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67262386
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00106486
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99975074
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99480518
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93143331
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85751076
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.77006817
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70636407
21.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64790456
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00192646
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.9992215
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99561005
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9392655
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.8700074
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.7840179
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.71953612
22.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.65718065
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00132606
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99890732
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99434614
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95587061
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89897722
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8165243
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75050192
25.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67944882
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,0.9999834
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99853636
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.9939949
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95553185
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89865816
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81616807
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75020846
26.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67921094
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00038727
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.9993133
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99507186
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93953661
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85674559
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76923677
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70559065
27.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64719462
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00073951
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99964487
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99460295
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95591194
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89885136
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81626773
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75036634
28.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67934817
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00003115
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99976436
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99463758
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95597013
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89897847
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81655383
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75062712
29.08.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67963666
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00001831
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00008609
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99542292
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95203474
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89256451
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8093616
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.743697
01.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67435825
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00000396
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99990898
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99430778
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95552054
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89865226
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.81616367
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75020035
02.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67920069
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00004508
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99994693
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99451312
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.94133513
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.8746351
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.79464782
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.72664486
03.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.66445985
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.0008183
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00033427
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99698577
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.94486863
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.87961191
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.80040357
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.73083662
04.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.67375538
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00006316
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99974532
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99493741
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9503581
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89160645
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83205583
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75720593
05.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.7009191
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00045519
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99869574
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99474214
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9502385
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89451248
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83169866
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75663695
08.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.70048282
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.000083
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99884005
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99340009
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95073203
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89558098
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83147157
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75638877
09.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.70030321
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00003998
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99878067
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99315012
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95143559
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89555019
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.83138582
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75633593
10.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.7002594
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00074946
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00008635
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99350272
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.9499414
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89578788
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.82975449
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75587674
11.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.70051303
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00068307
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99979722
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99348381
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93001108
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85661878
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76931658
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70570512
15.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64729606
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00025659
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99885617
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.9952758
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.95032003
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.89553316
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.8296337
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.75565017
16.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.70036322
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00074767
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,1.00017405
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,6M,0.4998,0.99322671
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1Y,1,0.93214372
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,2Y,2,0.85904304
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3Y,3,0.76930964
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,4Y,4,0.70578784
17.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,5Y,5,0.64737451
18.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,1M,0.0833,1.00009764
18.09.2025,CNY-DISCOUNT-CNY-CSA,Дисконтная,3M,0.2499,0.99843484
